Top In Town Restro-Bar,"RE-1C, Punjabi Association, Sector 29, Noida","North Indian, Mughlai, Chinese",₹550,10 AM to 11 PM,3.3
Time to Tea,"C-98/27, Jain Road, Sector 41, Noida","Fast Food, Beverages",₹350,9 AM to 11 PM (Mon-Sun),3.5
La Brezza - Jaypee Greens Golf & Spa Resort,"Jaypee Greens Golf & Spa Resort, G Block, Surajpur, Noida",Italian,"₹2,500","7 PM to 11:30 PM (Mon, Wed-Fri), 12:30 PM to 3 PM, 7 PM to 11:30 PM (Sat-Sun), Tue Closed",3.9
Café Doo Ghoont,"AG-13, Atrium Floor, Ansal Plaza Mall, Greater Noida, Noida","Cafe, Continental",₹600,10 AM to 9:30 PM,3.7
Jack Po!tato's,"Basment 1, The Great India Place, Sector 38, Near Sector 18, Noida",Fast Food,₹150,10 AM to 10 PM,3.6
Mosaic - Crowne Plaza Greater Noida,"Crowne Plaza, Institutional Green 1, Surajpur Chowk, Greater Noida, Noida","Chinese, Continental, North Indian","₹3,200","12:30 PM to 3:30 PM, 7 PM to 11 PM",3.7
Cafe Fusion,"Shop 10, Sharma Market, Sector 37, Noida","Cafe, Fast Food",₹350,"11 AM to 11 PM (Mon, Wed-Sun), 5 PM to 11 PM (Tue)",3.4
Fruti Crown,"1, Sharma Market, Sector 37, Noida",Beverages,₹250,11 AM to 10:30 PM,3.4
MIRCH - My Indian Rolls and Curry House,"Shop 2 & 6,1st Floor, A Block Market, Sector 44, Noida",North Indian,₹600,"8 AM to 11 PM (Mon, Wed-Sun), Tue Closed",2.7
@ Links - Radisson Blu,"Radisson Blu Hotel, L-2, Sector 18, Noida","Finger Food, North Indian","₹3,000",12 Noon to 12:45 AM,3.3
Bistro 37 - The Patio,"K-3, Godavari Complex, Sector 37, Noida","Cafe, Continental",₹300,"11 AM to 9:45 PM (Mon, Wed-Sun), 4 PM to 9:45 PM (Tue)",3.5
Yu Turn,"R-2, Recreation Area, YMCA Complex, Opposite JP Golf Course, Greater Noida, Noida","North Indian, Chinese, Thai",₹450,12 Noon to 11 PM,3.3
Looters Pizzeria,"Shop 10, Daya Nand Market, Behind Arya Samaj Mandir, Sector 33, Noida",Pizza,₹600,"11 AM to 11 PM (Mon, Wed-Sun), Tue Closed",3.6
Not Just Dilli,"Food Court, Logix City Centre, Sector 32, Near Sector 33, Noida",Street Food,₹450,11:30 AM to 11:30 PM,3.3
Laser Wars Lounge,"KO-17, Opposite Amity Gate-2, Sector 127, Noida",Fast Food,₹500,10:30 AM to 8 PM,3.4
More Than Cafe,"Shop 12, C Block Market, Sector 41, Noida","Cafe, Continental, Fast Food",₹400,11 AM to 11 PM,3.5
Churli,"RA-11, Opposite Gate 2A, Amity University, Sector 126, Near Sector 125, Noida","North Indian, Fast Food, South Indian",₹550,"9 AM to 10 PM (Mon-Sat), Sun Closed",3.4
The Artful Baker,"1st Floor, DLF Mall of India, Sector 18, Noida","Bakery, Fast Food",₹600,10 AM to 10 PM,3.2
Divine Curries,"FC 23, Film City Noida, Sector 16 A, Sector 16, Noida","North Indian, South Indian, Chinese",₹700,11 AM to 11 PM,3.2
Nine Curry,"Shop 5 & 6, Amarpali Zodiac, Sector 120, Sector 72, Noida","North Indian, Chinese, Mughlai",₹500,12 Noon to 11 PM,3.2
Satin - Radisson Blu,"Radisson Blu Hotel, C-8, 2nd Cross Ave Road, Kasna, Greater Noida, Noida","Japanese, Korean, Chinese, Thai","₹2,000",6:30 PM to 11 PM,3.4
Barista,"B-204, Level 1, DLF Mall of India, Sector 18, Noida",Cafe,₹650,11 AM to 10 PM,3.3
Cafe Coffee Day,"Shop 111, 1st Floor, The Great India Place Mall, Sector 38, Noida",Cafe,₹450,10 AM to 11 PM,2.6
Dosa Plaza,"B 1/9-10, Near Mosiac Hotel, Sector 18, Noida","South Indian, North Indian, Chinese, Fast Food",₹450,11 AM to 11 PM,3.4
GJ's Café Querido,"Shop A-3, Ground Floor Shopping Complex, F Block Market, Beta 2, Greater Noida, Noida","Cafe, Fast Food",₹250,10 AM to 10 PM,3.3
Chennai Darbar,"Shop 1, 1st Floor, BJ Mart, Street 1, Jagat Farm, Sector Gamma 1, Greater Noida, Noida","South Indian, Mughlai",₹500,10 AM to 10 PM,3.3
