Karim's,"G-40, Mughal Palace, Sector 18, Noida","Mughlai, North Indian","₹1,200","12 Noon to 3:30 PM, 6 PM to 11 PM (Mon, Wed-Sun), Tue Closed",3.4
Instapizza,"Food Court, DLF Mall of India, Sector 18, Noida","Pizza, Fast Food",₹900,11 AM to 11 PM,3.6
Spize Nothing Like That Bar Be Que,"H-1-A/26, Sector 63, Noida","North Indian, Chinese, Continental","₹1,200",11:30 AM to 11:30 PM (Mon-Sun),3.7
Kamboj's,"AVCC Club, Sector 37, Noida","North Indian, Mughlai, Chinese",₹800,"12 Noon to 3:30 PM, 6:30 PM to 11 PM (Mon-Sun)",2.7
Uncle's,"S-17 &18, L Block Market, Sector 11, Noida","North Indian, Chinese, Mughlai",₹700,"12 Noon to 4 PM, 7 PM to 11 PM",3.6
Tadqa Tandoor Express,"Ground Floor, Main Road, Yadhuvanshi Tower, Opposite Pathways School, Sector 104, Near Sector 110, Noida","North Indian, Mughlai",₹750,12 Noon to 11 PM (Mon-Sun),3.6
Colonel's Kababz,"320-A, 3rd Floor, The Great India Place, Sector 38- A, Near, Sector 38, Noida","North Indian, Mughlai","₹1,100",11 AM to 11 PM,3.6
The Punjabiis Restro Bar,"325-A, 3rd Floor, The Great India Place Mall, Sector 38-A, Near Sector 38, Sector 38, Noida","North Indian, Chinese","₹1,200",11 AM to 11 PM,3.7
Spice Darbaar,"Sector 93, Noida",North Indian,₹600,"12 Noon to 11 PM (Mon-Thu, Sun), 12 Noon to 12 Midnight (Fri-Sat)",3.9
Ristorante Prego,"323, 3rd Floor, The Great India Place Mall, Sector 38-A, Near Sector 38, Sector 38, Noida",Italian,"₹1,200",11 AM to 11 PM,2.9
Kapoors Balle Balle,"K-2, Brahmaputra Shopping Complex, Sector 29, Noida","North Indian, Chinese",₹400,11 AM to 11 PM,3.9
Glued,"Dynamic House, Next to HP Petrol Pump, Sector 41, Noida",Fast Food,"₹1,000",11 AM to 11 PM,3.7
Barfi,"514-515, Hajipur Village, Sector 104, Near Sector 110, Noida","North Indian, South Indian, Chinese, Street Food",₹350,9 AM to 11 PM,3.6
Haochi,"Gurukripa Bhawan, Sector 53, Noida",Chinese,₹600,11 AM to 11 PM (Mon-Sun),3.7
Pearls Regency,"R-253, Block I, Ganga Shopping Complex, Sector 29, Noida","North Indian, Chinese, Thai","₹1,000","11:30 AM to 3:15 PM, 7 PM to 11:15 PM",3.9
Rubaab Restaurant,"S-2, 1st Floor, Above Canara Bank, Gamma Shopping Complex, Jagat Farm Main Market, Greater Noida, Noida","North Indian, Mughlai, Chinese",₹600,11 AM to 10:30 PM,2.7
Paddy's Cafe,"J-3, 1st Floor, Sector 18, Noida","Continental, Italian, Lebanese, Cafe",₹800,11 AM to 11 PM,3.8
Quetzal Cafe Lounge,"J-20, Sector 18, Noida","Italian, Chinese, Mughlai","₹1,000",11 AM to 11 PM,3.4
Doosri Mehfil,"D-2C, Sector 18, Noida","North Indian, Chinese, Mughlai",₹950,12 Noon to 12 Midnight,3.6
Yumm Biryani,"1-B, Lower Ground Floor, Food Court, Supertech Shopprix Mall, Sector 61, Noida","Biryani, Mughlai",₹550,12 Noon to 11 PM (Mon-Sun),3.2
Dietwholic,"G-305/307, Sector 63, Noida","Cuisine Varies, Healthy Food",₹450,11 AM to 10 PM,3.8
Oh So Stoned!,"4th Floor, DLF Mall Of India, Sector 18, Noida",Desserts,₹250,11 AM to 11 PM,4.3
Lahori Restaurant,"B-1/28, Central Market, Above Archies, Sector 50, Noida","North Indian, Chinese",₹800,11:30 AM to 12 Midnight,2.4
Bon Bon Pastry Shop,"F-1, Sector 18, Noida","Bakery, Desserts, Fast Food",₹150,9 AM to 10 PM,2.8
The Bento Cafe,"Food Court, 4th Floor, DLF Mall of India, Sector 18, Noida","Asian, Chinese, Japanese",₹700,11 AM to 11 PM,3.8
Cinnabon,"Ground Floor, DLF Mall Of India, Sector 18, Noida","Desserts, Fast Food",₹450,11 AM to 11 PM,4
The Chocolate Room,"3rd Floor, The Great India Place, Sector 18, Noida","Cafe, Desserts",₹400,11 AM to 11 PM,4.1
Club Ice Cube,"313, 3rd Floor, The Great India Place Mall, Sector 38-A, Near Sector 38, Sector 38, Noida","North Indian, Continental, Chinese","₹2,400",12 Noon to 1 AM,2
Zauk,"AF-28, Ansal Plaza Mall, Pari Chowk, Greater Noida, Noida","Mughlai, North Indian",₹500,12 Noon to 11 PM (Mon-Sun),3.6
Asia Kitchen,"H-1-A, Sector 63, Noida","Chinese, Thai, North Indian","₹1,200","12:30 PM to 3:15 PM, 5:45 PM to 11:30 PM",3.6
Owlcity,"Sector 19, Noida",Fast Food,₹300,11 AM to 11 PM,3.9
Imly,"Food Court, DLF Mall Of India, Sector 18, Noida","Street Food, North Indian, Chinese, Continental",₹600,"12 Noon to 5 PM, 7 PM to 11 PM",3.6
Thaal Vaadi,"310/311, 3rd Floor, The Great India Place Mall, Sector 38-A, Near Sector 38, Noida","North Indian, Rajasthani",₹500,"6 PM to 3 AM (Mon-Tue), 12 Noon to 3 AM (Wed-Sun)",3
27 Grills,"Shop 27, D Block Market, Sector 27, Noida","North Indian, Chinese, Mughlai",₹600,12 Noon to 11:50 PM,3.7
Turquoise Cottage - TC Original 1997,"Gardens Galleria Mall, Plot A-2, Sector 38, Noida","Continental, American, Italian, Mediterranean","₹1,900",9 AM to 10:30 PM,3.7
MY Spice Kitchen & Cafe,"G-7 & G-8, BJ Mart, Street 1, Near Hero Honda Showroom, Jagat Farm, Gamma 1, Greater Noida, Noida","Cafe, Italian, Thai, Continental, Pizza, Mexican, Chinese","₹1,000",11 AM to 11 PM,3.6
Kitchen Mantra,"Plot 3, Sector 83, Noida","North Indian, Mughlai, Chinese",₹700,11:30 AM to 12 Midnight,2.9
Moti Mahal Delux Tandoori Trail,"H-224-K, 1st & 2nd Floor, Sector 63, Noida","North Indian, Mughlai, Chinese","₹1,400",11 AM to 11 PM,3.4
Wow! Momo,"Food Court, DLF Mall of India, FC16, Plot M-03, Sector 18, Noida","Tibetan, Chinese",₹350,9 AM to 10 PM,3.4
Bread & More,"Shop F4, ATS One Hamlet, Sector 104, Near, Sector 110, Noida","Bakery, Desserts, Fast Food",₹350,11:30 AM to 11 PM,3.8
Big Wong XL,"B-404, DLF Mall of India, Sector 18, Noida","Chinese, Thai, Sushi","₹1,500",12 Noon to 12 Midnight,3.5
Zest Bar and Lounge,"K-24, Near HSBC Bank, Sector 18, Noida","Finger Food, North Indian, Chinese","₹2,000",11:30 AM to 12:30 AM,2.6
Gravity,"402, 3rd Floor, Jaipuria Plaza, Sector 26, Noida","Chinese, Mughlai, North Indian","₹1,000",Mon-Sun (8 AM to 11:30 PM),3.3
Kebabplus,"Sector 93, Noida","North Indian, Lebanese, Mughlai, Biryani, Fast Food",₹600,Mon-Sun (10 AM to 11:59 PM),2.5
Chawla's 2,"G-28, Savitri Market, Sector 18, Noida","North Indian, Mughlai, Chinese",₹700,12 Noon to 11 PM,4
Mr. Brown,"Botanical Garden Metro Station, Sector 38, Noida","Bakery, Desserts, Fast Food",₹500,11 AM to 11 PM,3.5
The Tandoori Village,"H1-A/17, Sector 63, Noida","North Indian, Mughlai, Chinese","₹1,400",11 AM to 11 PM,2.1
US Pizza,"2nd Floor, Food Court, Spice World Mall, Sector 25-A, Near Sector 25, Noida","Pizza, Fast Food",₹650,11 AM to 11 PM,2.4
Amazing Burgers,"K-05, Godawari Complex, Sector 37, Noida",Fast Food,₹500,"11 AM to 5 PM, 6 PM to 11 PM",2.5
Nazeer Delicacies,"111, Ground Floor, MSX Mall, Near Pari Chowk, Greater Noida, Noida","North Indian, Mughlai",₹650,11 AM to 11 PM,3.5
Chai Point,"2nd Floor, DLF Mall of India, Sector 18, Noida","Tea, Fast Food",₹200,10:30 AM to 10 PM,3.5
Pizza Hut,"Ground Floor, Supertech Shopprix Mall, Sector 61, Noida","Italian, Pizza","₹1,000",11 AM to 11 PM,3.8
Burger Point,"Shop 8, Parsvanath Bibhab Plaza, Alpha-1 Commercial Belt, Greater Noida, Noida","Fast Food, American",₹400,"10 AM to 8:30 PM (Mon-Tue, Sat-Sun), 9:30 AM to 8:30 PM (Wed-Fri)",3.8
Keventers,"Food Court, DLF Mall of India, Sector 18, Noida",Beverages,₹400,11 AM to 10 PM,3.5
The Urban Chulha,"I-10, Harola, Near Sector 5, Noida","North Indian, South Indian",₹300,11 AM to 11 PM,3.7
Caffé La Poya,"10, Kirtimaan Plaza Behind Mother Diary, Sector 30, Noida",Fast Food,₹500,10:30 AM to 11 PM,3.3
Punjabi Pakwaan,"153, Ground Floor, Supertech Shopprix Mall, Sector 61, Noida","North Indian, Mughlai","₹1,200",12 Noon to 11 PM,3.3
Otik Food Plaza,"63, C-134/B, Supertech Shopprix Mall, Sector 61, Noida","North Indian, Mughlai",₹600,11 AM to 11 PM,3.7
Gola Sizzlers,"K-4, 1st Floor, Ocean Heights, Sector 18, Noida","Chinese, North Indian, Mughlai, Continental","₹1,600",10 AM to 11 PM,2.5
Vaango!,"302A-302B, Third Floor, The Great India Place, Sector 38, Noida",South Indian,₹450,11 AM to 11 PM,3.7
Sandwich King,"C-20/6B, Near Stellar IT park, Sector 62, Noida",Fast Food,₹500,11 AM to 11 PM,2.4
Street Foods of India,"3rd Floor, Food Court, The Great India Place Mall, Sector 38 A, Sector 38, Noida","Street Food, North Indian",₹600,"7:30 AM to 3:30 PM, 7:30 PM to 11:30 PM",2.8
Flavor Pirates,"Plot 7, IHDP Business Park, Sector 127, Noida","North Indian, Mughlai, Chinese",₹900,10:30 AM to 9:30 PM,3.4
Flluid - Mosaic Hotels,"Mosaic Hotels, C-1, Sector 18, Noida","Continental, North Indian, Mexican","₹2,200",11 AM to 11 PM,3.7
Baker Street,"21, Jalvayu Vihar Market, Sector 25, Noida",Bakery,₹300,11 AM to 11 PM,3.5
Savory Cafe And Restaurant,"Anchor Shop 2, Commercial Complex, ATS Paradiso, Greater Noida, Noida","North Indian, Chinese",₹800,10 AM to 10 PM,3.1
Foodelicious,"E-4/5, Om Sai Market, Sector 55, Noida","North Indian, Chinese",₹500,"Closed (Mon, Tue, Wed, Sat, Sun), 12 Midnight to 4 AM, 9 PM to 12 Midnight (Thu-Fri)",3.3
Simply South,"1, Jagat Farm, Gamma 1, Greater Noida, Noida",South Indian,₹300,11 AM to 11 PM,3.6
Hungry Ullu,"Main Market, Sector 50, Noida",Fast Food,₹500,11 AM to 10:30 PM,2.6
The Noodle Box Co.,"B-1/26, Central Market, Sector 50, Noida","Chinese, Thai, Asian",₹900,11 AM to 11 PM,2.7
Southern Treat,"B-1/32, Central Market, Sector 50, Noida",South Indian,₹300,10 AM to 7 PM,3.2
Sparkle Restro-Bar,"B-4, Gamma Shopping Complex, Jagat Farm, Gamma 1, Greater Noida, Noida","Chinese, North Indian","₹1,500",11 AM to 11 PM,4.5
Aartibakes,"Sector 44, Noida","Bakery, Desserts",₹400,11 AM to 11 PM,3.9
Rolls King,"Food Court, DLF Mall Of India, Sector 18, Noida",Fast Food,₹400,11 AM to 10 PM,3.7
Movenpick,"3rd Floor, DLF Mall Of India, Sector 18, Noida","Desserts, Ice Cream",₹400,"11 AM to 10:30 PM (Mon-Thu), 11 AM to 10:45 PM (Fri-Sun)",3.8
Asian Fun,"Shop 14, Godavari Shopping Complex, Sector 37, Noida",Chinese,₹350,12 Noon to 11:30 PM,3.6
China Leaf,"Shop 17, Ashirwad Complex, Sector 104, Near Sector 110, Noida",Chinese,₹500,11 AM to 11 PM (Mon-Sun),3.5
Tashtari Bar & Fine Dine Restaurant,"N-12/13, Opposite HSBC Bank, Sector 18, Noida","North Indian, Mughlai","₹1,200",8 AM to 11:15 PM (Mon-Sun),3.6
Crazy Noodles,"Shop 4, Plot B-127, Sector 41, Noida","Chinese, Thai",₹900,"11 AM to 11 PM (Mon-Sat), 5 PM to 11 PM (Sun)",3.3
Quick Grabs,"Shop-13, UG, Amrapali Sapphire Shopping Complex, Sector 45, Noida","Chinese, North Indian",₹500,11 AM to 10:45 PM,3.9
Sam and Scrooge,"F-7, Gopalji Mart, Sector 128, Near Jaypee Hospital, Sector 125, Noida","Chinese, Fast Food",₹400,11 AM to 11 PM,3.5
Cafe Garage,"27, Godavari Complex, Sector 37, Noida","Cafe, Italian",₹400,7 PM to 4 AM,3.4
Bebbe Da Degh,"Shop 2, Sharma Market, Near Indian Overseas Bank, Sector 52, Noida",North Indian,₹800,12 Noon to 12 Midnight,3
The FLIP Cafe,"Sector 50, Noida","Continental, Fast Food, North Indian, Chinese",₹500,11 AM to 11 PM,3.4
The Tandoori Village,"3rd Floor, The Great India Place, Sector 38, Noida","North Indian, Mughlai, Chinese","₹1,500",11 AM to 12 Midnight,3.1
Rollmaal,"C-56/9, Stellar IT Park, Sector 62, Noida","Fast Food, North Indian",₹500,11 AM to 11 PM,3.6
Pita Pit,"F-457A, 3rd Floor, DLF Mall Of India, Sector 18, Noida","Healthy Food, Salad",₹600,12 Noon to 11 PM,2.6
Eden Kitchen & Bar,"Supertech Shopprix Mall, Sector 61, Noida","North Indian, Chinese","₹2,000",11 AM to 11 PM,3.5
Bohemia,"Shop 250, 1st Floor, Garden Gallaria Mall, Sector 18, Noida","Mediterranean, Italian",₹800,12:30 PM to 11:30 PM,3.5
Mighty Small @ Smaaash,"4th Floor, DLF Mall of India, Sector 18, Noida","North Indian, Thai, Continental","₹1,200",12:30 PM to 11:30 PM,3.8
The Culinary Court - Park Ascent,"Park Ascent, Plot 126, Noida Khoda Road, Opposite IIM Lucknow Noida Campus, Sector 62, Noida","North Indian, Chinese, Continental","₹2,000","11:30 AM to 3:30 PM, 5:30 PM to 11 PM",2.1
Chicane,"205-A, 1st Floor, Spice World Mall, Sector 25-A, Near, Sector 25, Noida","European, North Indian, Chinese","₹2,500",11:30 AM to 11 PM,2.8
Kolkata Biryani House,"138, Jaipuria Plaza, Sector 26, Noida","North Indian, Mughlai, Biryani",₹500,11:30 AM to 11:30 PM,2.2
Chopaal,"A-2, 3rd Floor, The Great India Place Mall, Sector 38-A, Noida","Chinese, North Indian, South Indian, Fast Food",₹450,12 Noon to 11 PM,3.1
Sahi Dawaat,"1st Floor, Omaxe Mall, NRI City Centre, Greater Noida, Noida","North Indian, Chinese","₹1,500","11:30 AM to 3:30 PM, 6:30 PM to 11 PM",3.8
Adda 18,"Shop 2, JOP Plaza, Sector 18, Noida","Cafe, Fast Food",₹400,11 AM to 11 PM,2.6
Kamboj's,"Shop 1, Near Rama Banquet Hall, Sector 110, Noida","North Indian, Mughlai, Chinese",₹800,10 AM to 10:30 PM,2.6
Chaudhary's Spice of India,"10, Jagat Farm, Gamma 1, Near Vijaya Bank, Gautam Budh Nagar, Greater Noida, Noida","Chinese, North Indian, Fast Food",₹750,11 AM to 10:30 PM,3.3
Taste Of Dilli,"GF-6, Harsha Mall, Next to Kotak Mahindra Bank, Alpha 1, Commercial Belt, Greater Noida, Noida","North Indian, Chinese",₹500,"11 AM to 3:30 PM, 6 PM to 10:30 PM",2.4
Sri Kesar,"A-4, Ground & 1st Floor, Sunrise Tower, Alfa Commercial Belt, Greater Noida, Noida","Desserts, North Indian, South Indian, Chinese, Street Food",₹200,5:30 PM to 3 AM,2.7
Dilli 6,"The Residency Hotel, Priya Gold Building, Naya Bans, Sector 15, Noida","North Indian, Chinese",₹500,"12:30 PM to 2:45 PM, 7:30 PM to 11:45 PM",3.4
Cafe N Curries,"1, Godavari Complex, Sector 37, Noida","North Indian, Chinese",₹400,10 AM to 10 PM,3.9
R.E.D - Radisson Blu,"Radisson Blu Hotel, L-2, Sector 18, Noida","Japanese, Chinese, Seafood, Thai","₹3,000","12 Noon to 3 PM, 6:30 PM to 12 Midnight",3.4
Chitra Cafe,"A-15/21, Sector 44 Market, Sector 44, Noida","Chinese, Fast Food",₹500,11 AM to 11 PM,2.5
The Golden Dragon,"A-15/8, Sector 44 Market, Sector 44, Noida","Chinese, Seafood, Japanese","₹1,500",11 AM to 11 PM,2.3
Nizam's Kathi Kabab,"C-18, Sector 18, Noida","North Indian, Fast Food",₹900,9 AM to 8 PM,3.5
Kebab Xpress,"3rd Floor, The Great India Place, Sector 38, Noida","North Indian, Mughlai",₹700,1 PM to 12 Midnight,3.9
81 C Bakery cafe,"Shop 7, Omaxe NRI City Centre, Pari Chowk, Greater Noida, Noida","Bakery, Desserts",₹500,11 AM to 11 PM,3.5
